PARK,AREA,CLUBNAME,LEAGUE,
ALBERT COLLEGE,NORTH WEST,DRUMCONDRA F.C (Snr),AMATEUR FOOTBALL LEAGUE,
ALBERT COLLEGE,NORTH WEST,GLASNEVIN AFC,AMATEUR FOOTBALL LEAGUE,
BEECHILL ,SOUTH EAST,BALLSBRIDGE FC,AMATEUR FOOTBALL LEAGUE,
BELCAMP,NORTH CENTRAL,NEWTOWN CELTIC,AMATEUR FOOTBALL LEAGUE,
BELCAMP,NORTH CENTRAL,VIANNEY BOYS,AMATEUR FOOTBALL LEAGUE,
BELCAMP ,NORTH CENTRAL,PRIORSWOOD F.C SENIORS,AMATEUR FOOTBALL LEAGUE,
BELCAMP ,NORTH CENRAL,WHITES F.C,AMATEUR FOOTBALL LEAGUE,
BELCAMP ,NORTH CENTRAL,URBAN CELTIC,AMATEUR FOOTBALL LEAGUE,
BELCAMP ,NORTH CENTRAL,CLONSHAUGH SPORTING SUAZEE,AMATEUR FOOTBALL LEAGUE,
DARNDALE ,NORTH CENTRAL,J.K. CELTIC,AMATEUR FOOTBALL LEAGUE,
DONAGHMEDE ,NORTH CENTRAL,BALDOYLE O/35'S,AMATEUR FOOTBALL LEAGUE,
JOHN PAUL,CENTRAL,FAUSSAUGH UTD. F.C,AMATEUR FOOTBALL LEAGUE,
KILMORE ,NORTH CENTRAL,SHELBOURNE F.C,AMATEUR FOOTBALL LEAGUE,
KILMORE ,NORTH CENTRAL,VIANNEY BOYS,AMATEUR FOOTBALL LEAGUE,
MARKIEVICZ,SOUTH CENTRAL,OUR LADY OF VICTORIES F.C.,AMATEUR FOOTBALL LEAGUE,
MOUNT OLIVE,NORTH CENTRAL,KILMOUNT BOYS,AMATEUR FOOTBALL LEAGUE,
OSCAR TRAYNOR,NORTH CENTRAL,KILMORE CELTIC,AMATEUR FOOTBALL LEAGUE,
RINGSEND,SOUTH EAST,ST. MARKS ATHLETIC,AMATEUR FOOTBALL LEAGUE,
RINGSEND ,SOUTH EAST,IRISHTOWN  F.C.,AMATEUR FOOTBALL LEAGUE,
ST ANNES,NORTH CENTRAL,VIANNEY BOYS,AMATEUR FOOTBALL LEAGUE,
ST ANNES,NORTH CENTRAL,CHANEL SPORTS & SOCIAL CLUB,AMATEUR FOOTBALL LEAGUE,
ST ANNES,NORTH CENTRAL,MARINO ATHLETIC,AMATEUR FOOTBALL LEAGUE,
ST ANNES,NORTH CENTRAL,KANSAS CITY SHUFFLERS,AMATEUR FOOTBALL LEAGUE,
ST ANNES ,NORTH CENTRAL,SMITHFIELD F.C.,AMATEUR FOOTBALL LEAGUE,
ST ANNES ,NORTH CENTRAL,CELTIC PARK FC,AMATEUR FOOTBALL LEAGUE,
ST ANNES ,NORTH CENTRAL,ST. GABRIELS F.C.,AMATEUR FOOTBALL LEAGUE,
ST ANNES ,NORTH CENTRAL,BACCHUS F.C.,AMATEUR FOOTBALL LEAGUE,
ST ANNES ,NORTH CENTRAL,SHELBOURNE SPORTS & SOCIAL CLUB,AMATEUR FOOTBALL LEAGUE,
WALKINSTOWN,SOUTH CENTRAL,TRACTA  F.C.,AMATEUR FOOTBALL LEAGUE,
FR. COLLINS,NORTH CENTRAL,WYTELEAF UNITED F.C.,AMATEUR FOOTBALL LEAGUE/ATHLETIC UNION LEAGUE,
MILLBROOK,NORTH CENTRAL,WYTELEAF UNITED F.C.,AMATEUR FOOTBALL LEAGUE/ATHLETIC UNION LEAGUE,
ALBERT COLLEGE,NORTH WEST,GREENFIELD PARK BOYS F.C,ATHLETIC UNION LEAGUE,
ALFIE BYRNE,NORTH CENTRAL,EASTWALL BESSBOROUGH UTD.,ATHLETIC UNION LEAGUE,
COULTRY ,NORTH WEST,SHANGAN ATHLETIC,ATHLETIC UNION LEAGUE,
DARNDALE ,NORTH CENTRAL,DARNDALE ROVERS,ATHLETIC UNION LEAGUE,
DONAGHMEDE,NORTH CENTRAL,CARDONAGH A.F.C,ATHLETIC UNION LEAGUE,
FARNHAM,NORTHWEST,FINGLAS SOUTH F.C.,ATHLETIC UNION LEAGUE,
IRISHTOWN ,SOUTH EAST,MARKIEVICZ CELTIC F.C.,ATHLETIC UNION LEAGUE,
JOHN PAUL,CENTRAL,BROOMBRIDGE UTD,ATHLETIC UNION LEAGUE,
JOHNSTOWN,NORTH WEST,GRIFFITH ROVERS F.C.,ATHLETIC UNION LEAGUE,
KILDONAN ,NORTH WEST,W.F.T.A.  F.C. SNR.,ATHLETIC UNION LEAGUE,
LE FANU,SOUTH CENTRAL,MUSGRAVE F.C.,ATHLETIC UNION LEAGUE,
LE FANU ,SOUTH CENTRAL,V.O.F.C,ATHLETIC UNION LEAGUE,
LE FANU ,SOUTH CENTRAL,BALLYFERMOT FOOTBALL CLUB,ATHLETIC UNION LEAGUE,
LE FANU ,SOUTH CENTRAL,CLIFDEN CELTIC,ATHLETIC UNION LEAGUE,
LE FANU ,SOUTH CENTRAL,RAHEEN CELTIC,ATHLETIC UNION LEAGUE,
LEIN ROAD,NORTH CENTRAL,HARMONSTOWN F.C,ATHLETIC UNION LEAGUE,
MARKIEVICZ ,SOUTH CENTRAL,LANDEN UTD,ATHLETIC UNION LEAGUE,
MELLOWES,NORTH WEST,MCKELVEY CELTIC,ATHLETIC UNION LEAGUE,
MELLOWES,NORTH WEST,FINGLAS WANDERERS F.C,ATHLETIC UNION LEAGUE,
MILLBROOK,NORTH CENTRAL,AYRFIELD UNITED,ATHLETIC UNION LEAGUE,
OSCAR TRAYNOR,NORTH CENTRAL,SHAMROCK CELTIC F.C.,ATHLETIC UNION LEAGUE,
PLUNKETT AVENUE,NORTH WEST,VALLEY PARK UNITED,ATHLETIC UNION LEAGUE,
POPPINTREE,NORTH WEST,BUTTERCRUST UNITED,ATHLETIC UNION LEAGUE,
POPPINTREE,NORTH WEST,BELCLARE CELTIC,ATHLETIC UNION LEAGUE,
RINGSEND,SOUTH EAST,MARKIEVICZ CELTIC F.C.,ATHLETIC UNION LEAGUE,
RINGSEND,SOUTH EAST,BRIDGE UNITED,ATHLETIC UNION LEAGUE,
ST ANNES,NORTH CENTRAL,DONNYCARNEY F.C,ATHLETIC UNION LEAGUE,
ST ANNES ,NORTH CENTRAL,O'CASEY CELTIC,ATHLETIC UNION LEAGUE,
ST ANNES ,NORTH CENTRAL,LIBERTY HOUSE F.C.,ATHLETIC UNION LEAGUE,
ST ANNES ,NORTH CENTRAL,NORTH WALL Y.C.,ATHLETIC UNION LEAGUE,
WALKINSTOWN,SOUTH CENTRAL,AUNGIER CELTIC F.C.,ATHLETIC UNION LEAGUE,
COULTRY,NORTH WEST,SANDYHILL CELTIC,ATHLETIC UNION LEAGUE/NORTH DUBLIN SCHOOLBOYS LEAGUE,
NAUL,NORTH WEST,SANDYHILL CELTIC,ATHLETIC UNION LEAGUE/NORTH DUBLIN SCHOOLBOYS LEAGUE,
JOHNSTOWN,NORTH WEST,ST. PATRICKS PHOENIX,ATHLETIC UNION LEAGUE/AMATEUR FOOTBALL LEAGUE,
ALFIE BYRNE ,NORTH CENTRAL,SHERIFF Y.C., ATHLETIC UNION LEAGUE/DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
FAIRVIEW,NORTH CENTRAL,SHERIFF Y.C., ATHLETIC UNION LEAGUE/DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
JOHN PAUL,CENTRAL,HARDWICKE F.C., ATHLETIC UNION LEAGUE/ NORTH DUBLIN  SCHOOLBOYS LEAGUE,
MC AULEY,NORTH CENTRAL,ST. BRENDANS UNITED, ATHLETIC UNION LEAGUE/ NORTH DUBLIN  SCHOOLBOYS LEAGUE,
ALBERT COLLEGE,NORTH WEST,BOHEMIAN SCHOOLBOYS,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
ALBERT COLLEGE,NORTH WEST,STELLA MARIS,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
ALBERT COLLEGE ,NORTH WEST,HOMEFARM  F.C.,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
BRICKFIELDS ,SOUTH CENTRAL,USHER BOYS,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
BRICKFIELDS ,SOUTH CENTRAL,DRIMNAGH CELTIC,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
BUNTING ROAD,SOUTH CENTRAL,ST. PATRICKS ATHLETIC,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
BUSHY,SOUTH CENTRAL,RANGERS F.C.,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
BUSHY ,SOUTH CENTRAL,TERENURE F.C.,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
ELLENFIELD,NORTH CENTRAL,ST. KEVINS BOYS CLUB,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
FAIRVIEW ,NORTH CENTRAL,BELVEDERE F.C.,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
FARNHAM,NORTH WEST,RIVERMOUNT BOYS F.C.,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
FR. COLLINS,NORTH CENTRAL,CLARE HALL CELTIC,DUBLIN DISTRICT SCHOOLBOYS LEAGUE,
